Date,AAPL,FLS,GME,HRL,HSY,MSFT,SPG,SPY,TER,X
2019-04-04,48.6974983215332,47.0,9.739999771118164,42.0099983215332,115.0199966430664,120.0999984741211,183.5399932861328,286.7799987792969,43.470001220703125,20.0
2019-04-05,49.11249923706055,47.900001525878906,9.960000038146973,41.68000030517578,115.22000122070312,119.38999938964844,183.86000061035156,287.9200134277344,43.88999938964844,20.059999465942383
2019-04-08,49.10499954223633,47.869998931884766,9.789999961853027,41.869998931884766,115.83999633789062,119.80999755859375,185.00999450683594,288.1000061035156,44.119998931884766,19.850000381469727
2019-04-09,50.08000183105469,47.709999084472656,9.850000381469727,42.29999923706055,116.0,118.62999725341797,183.27999877929688,287.7200012207031,44.04999923706055,18.81999969482422
2019-04-10,49.66999816894531,47.70000076293945,9.880000114440918,41.75,116.0999984741211,119.76000213623047,183.69000244140625,287.7699890136719,43.66999816894531,17.770000457763672
2019-04-11,50.212501525878906,47.84000015258789,9.979999542236328,41.83000183105469,116.30000305175781,120.54000091552734,185.0,288.8299865722656,44.0,16.809999465942383
2019-04-12,49.79999923706055,48.810001373291016,9.789999961853027,41.27000045776367,115.80999755859375,120.63999938964844,184.0399932861328,290.0,44.25,16.8799991607666
2019-04-15,49.64500045776367,48.939998626708984,9.270000457763672,41.25,116.25,120.94000244140625,185.99000549316406,290.239990234375,44.0,16.700000762939453
2019-04-16,49.8650016784668,48.650001525878906,9.0,41.13999938964844,116.73999786376953,121.63999938964844,184.14999389648438,290.95001220703125,44.47999954223633,16.649999618530273
2019-04-17,49.8849983215332,49.439998626708984,9.109999656677246,40.90999984741211,117.08999633789062,121.23999786376953,177.66000366210938,291.3999938964844,45.459999084472656,16.899999618530273
2019-04-18,50.779998779296875,48.95000076293945,8.859999656677246,40.66999816894531,117.05999755859375,122.19000244140625,177.49000549316406,290.1000061035156,45.0,16.639999389648438
2019-04-22,50.70750045776367,49.279998779296875,8.75,40.279998779296875,116.80000305175781,122.62000274658203,177.60000610351562,289.1700134277344,44.709999084472656,16.389999389648438
2019-04-23,51.10749816894531,49.83000183105469,8.640000343322754,38.880001068115234,117.04000091552734,124.0999984741211,174.5800018310547,290.67999267578125,44.63999938964844,16.100000381469727
2019-04-24,51.84000015258789,50.2400016784668,8.899999618530273,39.52000045776367,116.7699966430664,125.79000091552734,177.02999877929688,292.7900085449219,46.709999084472656,16.1299991607666
2019-04-25,51.70750045776367,49.29999923706055,8.989999771118164,39.66999816894531,120.12000274658203,130.05999755859375,177.38999938964844,292.1199951171875,48.459999084472656,16.149999618530273
2019-04-26,51.224998474121094,48.47999954223633,8.930000305175781,39.75,122.5,129.6999969482422,178.42999267578125,292.1000061035156,47.880001068115234,15.5
2019-04-29,51.099998474121094,49.290000915527344,8.890000343322754,39.86000061035156,124.52999877929688,129.89999389648438,178.9199981689453,293.510009765625,48.77000045776367,15.75
2019-04-30,50.76499938964844,49.79999923706055,8.800000190734863,39.599998474121094,124.5,129.80999755859375,174.89999389648438,293.489990234375,48.84000015258789,15.979999542236328
2019-05-01,52.470001220703125,49.2599983215332,8.65999984741211,40.02000045776367,125.0,130.52999877929688,173.3699951171875,294.7200012207031,49.33000183105469,15.609999656677246
2019-05-02,52.459999084472656,48.02000045776367,8.510000228881836,38.869998931884766,122.9000015258789,127.9800033569336,178.02000427246094,291.67999267578125,48.68000030517578,14.720000267028809
2019-05-03,52.72249984741211,51.04999923706055,8.8100004196167,39.88999938964844,122.61000061035156,127.36000061035156,177.63999938964844,292.82000732421875,49.25,15.0600004196167
